"","a","c","path_estimate_y_x1.Y ~ X1","path_estimate_y_x2.Y ~ X2","sd_bootstrap_y_x1","Z_test_boot_y_x1.Y ~ X1","Z_test_boot_y_x2.Y ~ X2","perc_ci_lb_boot_y_x1","perc_ci_ub_boot_y_x1","perc_ci_sgn_same_y_x1","sd_delta_y_x1","Z_test_delta_y_x1.Y ~ X1","sd_delta_y_x2","Z_test_delta_y_x2.Y ~ X2","Sim_run","simulation_run","n","c_estimate","dip_test_p_value"
"result.1",0,0.1,0.00457715085476747,0.495179661308673,0.00863943843796703,1,0,-0.0105994464368585,0.0236613550777201,0,0.00910992469847646,1,0.00756872700300545,0,1,1,10000,0.100047979713569,0.865530701568842
"result.2",0,0.1,0.00469439258225091,0.496840010559865,0.00888364722074434,1,0,-0.0105511231222273,0.0225239188487891,0,0.00945617274554489,1,0.00736648708441302,0,2,1,10000,0.106680962815952,0.87454080747371
"result.3",0,0.1,0.0140640861487961,0.489728873402931,0.00852471987306753,1,0,0.000361381573675659,0.0350323806528666,1,0.00876999460539602,1,0.00764243784688174,0,3,1,10000,0.118082516955791,0.606062156298005
"result.4",0,0.1,0.00354244966284147,0.496220381287769,0.0084212369386233,1,0,-0.00987613444784617,0.0213256318468517,0,0.00893385862656479,1,0.00740530531175808,0,4,1,10000,0.0904622465266733,0.541683180715306
"result.5",0,0.1,-0.00393005307394107,0.509283678034894,0.00873914831031195,1,0,-0.0156347995936874,0.0171375668835402,0,0.00906842332302782,1,0.00756752835890008,0,5,1,10000,0.0804930701234316,0.996265632539954
"result.6",0,0.1,0.0020187295919587,0.50042666919612,0.00884788272785427,1,0,-0.0119721927867668,0.0221020649404298,0,0.00927310154182612,1,0.00756143457787729,0,6,1,10000,0.101073237723859,0.996982828222821
"result.7",0,0.1,0.0050696388127438,0.490693138786235,0.00852996833935839,1,0,-0.00862161578758018,0.0246960780514084,0,0.00892446453729484,1,0.00749771996276972,0,7,1,10000,0.0917025990225701,0.991284798127431
"result.8",0,0.1,0.0037426733293411,0.493079116461458,0.00821673499809471,1,0,-0.0122815788103888,0.0215175114091905,0,0.00880350706223389,1,0.00768363508073903,0,8,1,10000,0.0867031821756001,0.985114803762972
"result.9",0,0.1,0.0132266539343232,0.496474500199422,0.00885826265313772,1,0,-0.00256658276065486,0.0324040592823235,0,0.00880836200176121,1,0.00767317904732441,0,9,1,10000,0.0909644188362856,0.988540118770837
"result.10",0,0.1,0.0134365822118829,0.498762511871088,0.00869303409710659,1,0,-0.00113336140788337,0.03317572094393,0,0.00875089213405669,1,0.00751604186895712,0,10,1,10000,0.0826175953677711,0.994842462618327
